Id,OwnerId,IsDeleted,Name,CurrencyIsoCode,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,npsp__Active__c,npsp__Asynchronous__c,npsp__Class__c,npsp__Load_Order__c,npsp__Object__c,npsp__Trigger_Action__c,npsp__User_Managed__c,npsp__Usernames_to_Exclude__c
a0h0C000000wUZcQAM,0054J000002qL99QAE,false,a0h0C000000wUZc,GBP,2021-10-20T11:24:12.000+0000,0054J000002qL99QAE,2022-02-25T13:32:01.000+0000,0054J000002qL99QAE,2022-02-25T13:32:01.000+0000,null,null,false,false,ALLO_Allocations_TDTM,1,Allocation__c,BeforeInsert;BeforeUpdate;AfterInsert;AfterUpdate;AfterDelete,false,null
a0h1r00000J280RAAR,0051r000008kEZYAA2,false,a0h1r00000J280R,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,null,null,true,false,AFFL_Affiliations_TDTM,2,Account,AfterInsert;AfterUpdate,false,null
a0h1r00000J280SAAR,0051r000008kEZYAA2,false,a0h1r00000J280S,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2021-04-30T17:30:38.000+0000,0054J000002qL99QAE,2021-04-30T17:30:38.000+0000,null,null,true,false,AFFL_Affiliations_TDTM,1,Contact,AfterInsert;AfterUpdate,false,wuser@humanappeal.com
a0h1r00000J280TAAR,0051r000008kEZYAA2,false,a0h1r00000J280T,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,null,null,true,false,AFFL_Affiliations_TDTM,1,npe5__Affiliation__c,AfterInsert;AfterUpdate;AfterDelete;AfterUndelete,false,null
a0h1r00000J280UAAR,0051r000008kEZYAA2,false,a0h1r00000J280U,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,null,null,true,false,REL_Relationships_Cm_TDTM,1,CampaignMember,AfterInsert;AfterUpdate,false,null
a0h1r00000J280VAAR,0051r000008kEZYAA2,false,a0h1r00000J280V,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2021-04-30T17:30:38.000+0000,0054J000002qL99QAE,2021-04-30T17:30:38.000+0000,null,null,true,false,REL_Relationships_Con_TDTM,2,Contact,AfterInsert;AfterUpdate;AfterDelete,false,wuser@humanappeal.com
a0h1r00000J280WAAR,0051r000008kEZYAA2,false,a0h1r00000J280W,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2022-04-19T15:07:28.000+0000,0054J000002qL99QAE,2022-04-19T15:07:28.000+0000,null,null,false,false,REL_Relationships_TDTM,1,npe4__Relationship__c,AfterInsert;AfterUpdate;AfterDelete,false,null
a0h1r00000J280XAAR,0051r000008kEZYAA2,false,a0h1r00000J280X,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2021-12-11T21:07:37.000+0000,0054J000002qL99QAE,2021-12-11T21:07:37.000+0000,null,null,true,false,ACCT_IndividualAccounts_TDTM,1,Contact,BeforeInsert;BeforeUpdate;AfterInsert;AfterUpdate;AfterDelete;AfterUndelete,false,null
a0h1r00000J280YAAR,0051r000008kEZYAA2,false,a0h1r00000J280Y,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,null,null,true,false,ACCT_Accounts_TDTM,1,Account,BeforeInsert;BeforeUpdate;AfterUpdate,false,null
a0h1r00000J280ZAAR,0051r000008kEZYAA2,false,a0h1r00000J280Z,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,null,null,true,false,ACCT_AccountMerge_TDTM,1,Account,AfterDelete,false,null
a0h1r00000J280aAAB,0051r000008kEZYAA2,false,a0h1r00000J280a,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2022-02-10T12:21:05.000+0000,0054J000002qL99QAE,2022-02-10T12:21:05.000+0000,null,null,true,false,HH_OppContactRoles_TDTM,1,Opportunity,AfterInsert;AfterUpdate,false,wuser@humanappeal.com.uat
a0h1r00000J280bAAB,0051r000008kEZYAA2,false,a0h1r00000J280b,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2018-07-30T09:10:11.000+0000,null,null,true,false,HH_HHObject_TDTM,1,npo02__Household__c,BeforeUpdate;AfterUpdate,false,null
a0h1r00000J280cAAB,0051r000008kEZYAA2,false,a0h1r00000J280c,GBP,2018-07-30T09:10:11.000+0000,0051r000008kEZYAA2,2021-12-11T21:05:58.000+0000,0054J000002qL99QAE,2021-12-11T21:05:58.000+0000,null,null,true,false,HH_Households_TDTM,0,Contact,BeforeInsert;BeforeUpdate;AfterInsert;AfterUpdate;AfterDelete,false,null
